"ROW_ID"	"ROW_VERSION"	"pair_barcode"	"cellularity"	"ploidy"	"slpp"
"204"	"1"	"GLSS-SM-R070-TP-01-NB-01D-WXS"	"0.79"	"4.9"	"0.416407662992821"
"205"	"1"	"GLSS-MD-0025-R1-01-NB-01D-WGS"	"0.5"	"2.1"	"0.416007956049711"
"206"	"1"	"GLSS-CU-R009-R1-01-NB-01D-WXS"	"0.77"	"4"	"0.41552306885014"
"207"	"1"	"GLSS-MD-0090-R1-01-NB-01D-WXS"	"0.87"	"1.9"	"0.414929190759156"
"208"	"1"	"GLSS-19-0280-TP-01-NB-01D-WXS"	"0.88"	"2.9"	"0.41463693361497"
"209"	"1"	"GLSS-MG-0003-TP-01-NB-01D-WXS"	"0.88"	"3.2"	"0.410859528053389"
"210"	"1"	"GLSS-DK-0015-TP-01-NB-01D-WXS"	"0.85"	"1.9"	"0.409664703194059"
"211"	"1"	"GLSS-SF-0065-TP-01-NB-01D-WXS"	"0.3"	"1.9"	"0.409598195648351"
"212"	"1"	"GLSS-SF-0039-TP-01-NB-01D-WXS"	"0.71"	"2"	"0.408367473090841"
"213"	"1"	"GLSS-AT-00P1-TP-01-NB-01D-WXS"	"0.49"	"2.4"	"0.405084372692313"
"214"	"1"	"TCGA-DU-6397-TP-11-NB-01D-WXS"	"0.78"	"2"	"0.404649746682391"
"215"	"1"	"GLSS-MD-0116-R1-01-NM-01D-WXS"	"0.89"	"4.3"	"0.403679511676973"
"216"	"1"	"GLSS-MD-0006-TP-01-NB-01D-WGS"	"0.94"	"2.1"	"0.402198325016946"
"217"	"1"	"GLSS-MD-0097-R1-01-NB-01D-WXS"	"0.88"	"4.2"	"0.402062908171604"
"218"	"1"	"GLSS-DK-0008-TP-01-NB-01D-WXS"	"0.81"	"2.1"	"0.401625747311031"
"219"	"1"	"GLSS-SF-0020-TP-01-NB-01D-WXS"	"0.8"	"2"	"0.39900492232783"
"220"	"1"	"GLSS-SF-0018-TP-01-NB-01D-WXS"	"0.78"	"2.1"	"0.398172519763602"
"221"	"1"	"GLSS-MD-0022-TP-01-NB-01D-WGS"	"0.8"	"2.5"	"0.3963814215117"
"222"	"1"	"GLSS-CU-R016-R1-01-NB-01D-WXS"	"0.86"	"2.1"	"0.396179265690774"
"223"	"1"	"GLSS-19-0269-R1-02-NB-02D-WXS"	"0.56"	"2.6"	"0.395389916019414"
"224"	"1"	"GLSS-SF-0027-R1-01-NB-01D-WXS"	"0.82"	"2.1"	"0.395264970926829"
"225"	"1"	"GLSS-MD-0026-TP-01-NB-01D-WGS"	"0.7"	"2.2"	"0.393250105453621"
"226"	"1"	"GLSS-SF-0004-R1-01-NM-01D-WXS"	"0.85"	"2.1"	"0.391879267924132"
"227"	"1"	"GLSS-CU-R018-TP-01-NB-01D-WXS"	"0.64"	"2.6"	"0.391271642544951"
"228"	"1"	"GLSS-SM-R098-R2-01-NB-01D-WXS"	"0.42"	"4"	"0.391223288549282"
"229"	"1"	"GLSS-MD-LP01-R1-01-NB-01D-WXS"	"0.81"	"3.8"	"0.39001194221304"
"230"	"1"	"GLSS-SF-0017-R1-01-NB-01D-WXS"	"0.71"	"4.5"	"0.388979561124314"
"231"	"1"	"TCGA-06-0210-TP-01-NB-01D-WXS"	"0.45"	"2.3"	"0.388093852435043"
"232"	"1"	"GLSS-SM-R098-R1-01-NB-01D-WXS"	"0.7"	"3.8"	"0.386895240200992"
"233"	"1"	"GLSS-MG-0003-R1-01-NB-01D-WXS"	"0.75"	"2.5"	"0.38557501298346"
"234"	"1"	"GLSS-SF-0081-R1-01-NB-01D-WXS"	"0.88"	"2.4"	"0.384918503588392"
"235"	"1"	"GLSS-HF-2829-R1-01-NB-01D-WXS"	"0.58"	"2"	"0.384441689400439"
"236"	"1"	"GLSS-LU-00A1-TP-01-NB-01D-WXS"	"0.5"	"2.7"	"0.383164124042123"
"237"	"1"	"GLSS-MD-0030-R1-01-NB-01D-WGS"	"0.73"	"2"	"0.383058346932131"
